Disease Name	Most General MONDO ID	Most General Label
3-Methylglutaconic aciduria	MONDO:0017359	3-methylglutaconic aciduria
3-Methylglutaconic aciduria type I	MONDO:0009610	3-methylglutaconic aciduria type 1
3-Methylglutaconic aciduria type III (Costeff syndrome)	MONDO:0009610	3-methylglutaconic aciduria type 1
3-Phosphoglycerate dehydrogenase deficiency	MONDO:0018491	3-phosphoglycerate dehydrogenase deficiency
3-beta-hydroxysteroid dehydrogenase deficiency	MONDO:0008727	congenital adrenal hyperplasia due to 3-beta-hydroxysteroid dehydrogenase deficiency
3M syndrome	MONDO:0007477	3-M syndrome
3q29 microdeletion syndrome	MONDO:0012269	chromosome 3q29 microdeletion syndrome
47,XYY syndrome	MONDO:0019339	47,XYY syndrome
4H leukodystrophy (POLR3-related leukodystrophy)	MONDO:0014666	hypomyelinating leukodystrophy 11
5-alpha reductase deficiency	MONDO:0009923	46,XY disorder of sex development due to 5-alpha-reductase 2 deficiency
7q11.23 Duplication Syndrome	MONDO:0012342	7q11.23 microduplication syndrome
7q11.23 duplication syndrome	MONDO:0012342	7q11.23 microduplication syndrome
8p23.1 deletion syndrome	MONDO:0016658	8p23.1 microdeletion syndrome
8q24.3 microdeletion syndrome	MONDO:0014263	8q24.3 microdeletion syndrome
9p deletion syndrome	MONDO:0008013	chromosome 9p deletion syndrome
A20 haploinsufficiency (TNFAIP3 mutations)	MONDO:0100222	A20 haploinsufficiency
ADAMTSL4-Related Ectopia Lentis	MONDO:0009152	ectopia lentis 2, isolated, autosomal recessive
ADAMTSL4-related Ectopia Lentis	MONDO:0009152	ectopia lentis 2, isolated, autosomal recessive
ADAMTSL4-related ectopia lentis	MONDO:0009152	ectopia lentis 2, isolated, autosomal recessive
ADCY5-related dyskinesia	MONDO:0031115	dyskinesia with orofacial involvement
ADNP Syndrome	MONDO:0014379	ADNP-related multiple congenital anomalies - intellectual disability - autism spectrum disorder
ADNP syndrome	MONDO:0014379	ADNP-related multiple congenital anomalies - intellectual disability - autism spectrum disorder
AEC syndrome (Ankyloblepharon-Ectodermal Dysplasia–Clefting Syndrome)	MONDO:0010004	EEC syndrome
AEC syndrome (Ankyloblepharon-Ectodermal defects-Cleft lip/palate syndrome)	MONDO:0007124	ankyloblepharon-ectodermal defects-cleft lip/palate syndrome
AEC syndrome (Ankyloblepharon-ectodermal defects-cleft lip/palate syndrome)	MONDO:0007124	ankyloblepharon-ectodermal defects-cleft lip/palate syndrome
ALDH18A1-related Cutis Laxa Type III	MONDO:0014706	cutis laxa, autosomal dominant 3
ALG1-CDG (Congenital Disorder of Glycosylation Type Ik)	MONDO:0011783	ALG12-congenital disorder of glycosylation
ALG6-CDG (Congenital Disorder of Glycosylation Type Ic)	MONDO:0011291	ALG6-congenital disorder of glycosylation 1C
APECED (Autoimmune Polyendocrinopathy-Candidiasis-Ectodermal Dystrophy)	MONDO:0009411	autoimmune polyendocrine syndrome type 1
APECED syndrome (Autoimmune Polyendocrinopathy-Candidiasis-Ectodermal Dystrophy)	MONDO:0009411	autoimmune polyendocrine syndrome type 1
ARX-Related Epilepsy	MONDO:0015921	obsolete ARX-related epileptic encephalopathy
ARX-Related Epileptic Encephalopathies	MONDO:0015921	obsolete ARX-related epileptic encephalopathy
ARX-Related Epileptic Encephalopathy	MONDO:0015921	obsolete ARX-related epileptic encephalopathy
ARX-related Epilepsy	MONDO:0015921	obsolete ARX-related epileptic encephalopathy
ARX-related Epileptic Encephalopathy	MONDO:0015921	obsolete ARX-related epileptic encephalopathy
ARX-related developmental and epileptic encephalopathy	MONDO:0010632	developmental and epileptic encephalopathy, 1
ARX-related developmental epileptic encephalopathy	MONDO:0010632	developmental and epileptic encephalopathy, 1
ARX-related disorders (e.g., X-linked lissencephaly with abnormal genitalia)	MONDO:0010268	X-linked lissencephaly with abnormal genitalia
ARX-related epilepsy	MONDO:0015921	obsolete ARX-related epileptic encephalopathy
ARX-related epilepsy and intellectual disability	MONDO:0010317	intellectual disability, X-linked, with or without seizures, arx-related
ARX-related epilepsy syndrome	MONDO:0015921	obsolete ARX-related epileptic encephalopathy
ARX-related epilepsy syndromes	MONDO:0015921	obsolete ARX-related epileptic encephalopathy
ARX-related epileptic encephalopathy	MONDO:0015921	obsolete ARX-related epileptic encephalopathy
ARX-related infantile epileptic encephalopathy	MONDO:0015921	obsolete ARX-related epileptic encephalopathy
ARX-related intellectual disability	MONDO:0010317	intellectual disability, X-linked, with or without seizures, arx-related
ARX-related intellectual disability with epilepsy	MONDO:0010317	intellectual disability, X-linked, with or without seizures, arx-related
ARX-related intellectual disability with seizures	MONDO:0010317	intellectual disability, X-linked, with or without seizures, arx-related
ARX-related pediatric developmental and epileptic encephalopathy	MONDO:0010632	developmental and epileptic encephalopathy, 1
ATP6V0A2-CDG (Congenital Disorder of Glycosylation Type IIe)	MONDO:0012123	congenital disorder of glycosylation type 1E
ATP6V0A2-related Cutis Laxa Type IIA	MONDO:0018163	autosomal recessive cutis laxa type 2A
ATR-X Syndrome	MONDO:0010519	alpha thalassemia-X-linked intellectual disability syndrome
ATR-X syndrome	MONDO:0010519	alpha thalassemia-X-linked intellectual disability syndrome
ATR-X syndrome (Alpha-thalassemia X-linked intellectual disability syndrome)	MONDO:0010519	alpha thalassemia-X-linked intellectual disability syndrome
Aarskog Syndrome	MONDO:0021005	faciodigitogenital syndrome
Aarskog syndrome	MONDO:0021005	faciodigitogenital syndrome
Aarskog syndrome (Aarskog–Scott syndrome)	MONDO:0010589	Aarskog-Scott syndrome, X-linked
Aarskog-Scott Syndrome	MONDO:0021005	faciodigitogenital syndrome
Aarskog-Scott syndrome	MONDO:0021005	faciodigitogenital syndrome
Aase syndrome	MONDO:0015253	Diamond-Blackfan anemia
Abetalipoproteinemia	MONDO:0008692	abetalipoproteinemia
Aceruloplasminemia	MONDO:0011426	aceruloplasminemia
Achondrogenesis	MONDO:0019648	achondrogenesis
Achondroplasia	MONDO:0007037	Achondroplasia
Achromatopsia	MONDO:0018852	achromatopsia
Acquired Generalized Lipodystrophy (AGL)	MONDO:0019193	acquired generalized lipodystrophy
Acquired Generalized Lipodystrophy (Lawrence Syndrome)	MONDO:0019193	acquired generalized lipodystrophy
Acquired Partial Lipodystrophy	MONDO:0012104	acquired partial lipodystrophy
Acquired generalized lipodystrophy	MONDO:0019193	acquired generalized lipodystrophy
Acquired palmoplantar keratoderma	MONDO:0019489	diffuse palmoplantar keratoderma - acrocyanosis syndrome
Acquired punctate palmoplantar keratoderma	MONDO:0007047	punctate palmoplantar keratoderma type III
Acrocallosal syndrome	MONDO:0008708	acrocallosal syndrome
Acrodysostosis	MONDO:0019797	acrodysostosis
Acromegaloid Facial Appearance Syndrome	MONDO:0007051	acromegaloid facial appearance syndrome
Acromegaly	MONDO:0019933	acromegaly
Acromelic frontonasal dysostosis	MONDO:0011359	acromelic frontonasal dysostosis
Acromesomelic dysplasia	MONDO:0019696	acromesomelic dysplasia
Acromicric dysplasia	MONDO:0007055	Acromicric dysplasia
Acute intermittent porphyria	MONDO:0008294	acute intermittent porphyria
Acute lymphoblastic leukemia	MONDO:0004967	acute lymphoblastic leukemia
Acute zonal occult outer retinopathy	MONDO:0017298	acute zonal occult outer retinopathy
Adams-Oliver syndrome	MONDO:0007034	Adams-Oliver syndrome
Adenosine Deaminase (ADA) Deficiency	MONDO:0100317	deficiency of adenosine deaminase 2
Adenosine Deaminase Deficiency	MONDO:0007064	severe combined immunodeficiency, autosomal recessive, T cell-negative, B cell-negative, NK cell-negative, due to adenosine deaminase deficiency
Adenosine deaminase (ADA) deficiency	MONDO:0100317	deficiency of adenosine deaminase 2
Adenosine deaminase deficiency	MONDO:0007064	severe combined immunodeficiency, autosomal recessive, T cell-negative, B cell-negative, NK cell-negative, due to adenosine deaminase deficiency
Adenosine deaminase deficiency (ADA-SCID)	MONDO:0007064	severe combined immunodeficiency, autosomal recessive, T cell-negative, B cell-negative, NK cell-negative, due to adenosine deaminase deficiency
Adenosine kinase deficiency	MONDO:0100255	adenosine kinase deficiency
Adenylosuccinate lyase deficiency	MONDO:0007068	adenylosuccinate lyase deficiency
Adrenoleukodystrophy	MONDO:0018544	adrenoleukodystrophy
Adrenoleukodystrophy (X-linked)	MONDO:0010247	X-linked cerebral adrenoleukodystrophy
Adrenoleukodystrophy (adult-onset)	MONDO:0008215	adult-onset autosomal dominant demyelinating leukodystrophy
Adrenomyeloneuropathy	MONDO:0010247; MONDO:0015339 (no common general term found)	adrenomyeloneuropathy; X-linked cerebral adrenoleukodystrophy
Adrenomyeloneuropathy (AMN variant of adrenoleukodystrophy)	MONDO:0015339	adrenomyeloneuropathy
Adrenomyeloneuropathy (AMN)	MONDO:0015339	adrenomyeloneuropathy
Adult-Onset Krabbe Disease	MONDO:0016091	adult Krabbe disease
Adult-onset Krabbe disease	MONDO:0016091	adult Krabbe disease
Adult-onset Leukodystrophy	MONDO:0008215	adult-onset autosomal dominant demyelinating leukodystrophy
Adult-onset Metachromatic Leukodystrophy	MONDO:0008215	adult-onset autosomal dominant demyelinating leukodystrophy
Adult-onset Metachromatic Leukodystrophy (MLD)	MONDO:0008215	adult-onset autosomal dominant demyelinating leukodystrophy
Adult-onset Niemann-Pick disease type C	MONDO:0016310	Niemann-Pick disease type C, adult neurologic onset
Adult-onset hereditary hemochromatosis	MONDO:0019257	hemochromatosis type 2
Adult-onset leukodystrophies	MONDO:0008215	adult-onset autosomal dominant demyelinating leukodystrophy
Adult-onset leukodystrophy	MONDO:0008215	adult-onset autosomal dominant demyelinating leukodystrophy
Adult-onset metachromatic leukodystrophy	MONDO:0008215	adult-onset autosomal dominant demyelinating leukodystrophy
Adult-onset neuronal ceroid lipofuscinosis	MONDO:0019260	adult neuronal ceroid lipofuscinosis
Adult-onset neuronal ceroid lipofuscinosis (Kufs disease)	MONDO:0019260	adult neuronal ceroid lipofuscinosis
Adult-onset spinal muscular atrophy	MONDO:0010056	spinal muscular atrophy, type IV
Adult-onset spinocerebellar ataxia	MONDO:0010534	X-linked spinocerebellar ataxia type 4
Agammaglobulinemia (non-Bruton types)	MONDO:0011096	autosomal agammaglobulinemia
Age-related macular degeneration	MONDO:0005150	age-related macular degeneration
Agenesis of the Corpus Callosum due to genetic anomalies	MONDO:0010224	corpus callosum agenesis-abnormal genitalia syndrome
Agenesis of the Corpus Callosum with Epilepsy	MONDO:0018430	partial corpus callosum agenesis-cerebellar vermis hypoplasia with posterior fossa cysts syndrome
Agenesis of the corpus callosum	MONDO:0009022	corpus callosum, agenesis of
Aicardi Syndrome	MONDO:0010568	Aicardi syndrome
Aicardi syndrome	MONDO:0010568	Aicardi syndrome
Aicardi-Goutières Syndrome	MONDO:0018866	Aicardi-Goutieres syndrome
Aicardi-Goutières syndrome	MONDO:0018866	Aicardi-Goutieres syndrome
Alagille Syndrome	MONDO:0007318	Alagille syndrome
Alagille syndrome	MONDO:0007318	Alagille syndrome
Aland Island Eye Disease	MONDO:0010371	Aland island eye disease
Albinism	MONDO:0043209	albinism
Albright hereditary osteodystrophy	MONDO:0007078	pseudohypoparathyroidism type 1A
Albright hereditary osteodystrophy (AHO)	MONDO:0012912	pseudopseudohypoparathyroidism
Albright hereditary osteodystrophy (pseudopseudohypoparathyroidism)	MONDO:0012912	pseudopseudohypoparathyroidism
Alexander Disease	MONDO:0008752	Alexander disease
Alexander disease	MONDO:0008752	Alexander disease
Alkaptonuria	MONDO:0008753	alkaptonuria
Allan-Herndon-Dudley syndrome	MONDO:0010354	Allan-Herndon-Dudley syndrome
Allgrove syndrome (Triple A syndrome)	MONDO:0009279	triple-A syndrome
Allgrove syndrome (Triple-A syndrome)	MONDO:0009279	triple-A syndrome
Alpers Disease	MONDO:0008758	mitochondrial DNA depletion syndrome 4a
Alpers disease	MONDO:0008758	mitochondrial DNA depletion syndrome 4a
Alpers-Huttenlocher Syndrome	MONDO:0008758	mitochondrial DNA depletion syndrome 4a
Alpers-Huttenlocher syndrome	MONDO:0008758	mitochondrial DNA depletion syndrome 4a
Alpers-Huttenlocher syndrome (a mitochondrial disorder)	MONDO:0008758	mitochondrial DNA depletion syndrome 4a
Alpha-1 Antitrypsin Deficiency	MONDO:0013282	alpha 1-antitrypsin deficiency
Alpha-1 antitrypsin deficiency	MONDO:0013282	alpha 1-antitrypsin deficiency
Alpha-Dystroglycanopathies (e.g., Fukuyama Congenital Muscular Dystrophy)	MONDO:0009678	muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 4
Alpha-aminolevulinic acid dehydratase deficiency porphyria	MONDO:0013000	porphyria due to ALA dehydratase deficiency
Alpha-mannosidosis	MONDO:0009561	alpha-mannosidosis
Alpha-thalassemia X-linked intellectual disability syndrome (ATR-X syndrome)	MONDO:0010519	alpha thalassemia-X-linked intellectual disability syndrome
Alpha-thalassemia major (Hb Bart's disease)	MONDO:0015579	Hb Bart's hydrops fetalis
Alport Syndrome	MONDO:0018965	Alport syndrome
Alport syndrome	MONDO:0018965	Alport syndrome
Alstrom syndrome	MONDO:0008763	Alstrom syndrome
Alström Syndrome	MONDO:0008763	Alstrom syndrome
Alström syndrome	MONDO:0008763	Alstrom syndrome
Alternating Hemiplegia of Childhood	MONDO:0016241	alternating hemiplegia of childhood
Alternating hemiplegia of childhood	MONDO:0016241	alternating hemiplegia of childhood
Alveolar capillary dysplasia with misalignment of pulmonary veins	MONDO:0009934	alveolar capillary dysplasia with misalignment of pulmonary veins
Amblyopia	MONDO:0001020	amblyopia
Amelogenesis Imperfecta with Nephrocalcinosis	MONDO:0008771	amelogenesis imperfecta type 1G
Amelogenesis imperfecta with developmental delay	MONDO:0019507	amelogenesis imperfecta
Amyloidosis	MONDO:0019065	amyloidosis
Amyotrophic Lateral Sclerosis	MONDO:0004976	amyotrophic lateral sclerosis
Amyotrophic Lateral Sclerosis (ALS)	MONDO:0004976	amyotrophic lateral sclerosis
Amyotrophic lateral sclerosis	MONDO:0004976	amyotrophic lateral sclerosis
Amyotrophic lateral sclerosis (ALS)	MONDO:0004976	amyotrophic lateral sclerosis
Amyotrophic lateral sclerosis-parkinsonism-dementia complex	MONDO:0007104	amyotrophic lateral sclerosis-parkinsonism-dementia complex
Anauxetic dysplasia	MONDO:0011773	anauxetic dysplasia
Andermann Syndrome (Agenesis of the Corpus Callosum with Peripheral Neuropathy)	MONDO:0000902	agenesis of the corpus callosum with peripheral neuropathy
Andermann syndrome	MONDO:0000902	agenesis of the corpus callosum with peripheral neuropathy
Andersen-Tawil Syndrome	MONDO:0008222	Andersen-Tawil syndrome
Andersen-Tawil syndrome	MONDO:0008222	Andersen-Tawil syndrome
Anderson-Fabry disease	MONDO:0010526	Fabry disease
Aneurysm-osteoarthritis syndrome	MONDO:0013426	aneurysm-osteoarthritis syndrome
Aneurysms-Osteoarthritis Syndrome	MONDO:0013426	aneurysm-osteoarthritis syndrome
Aneurysms-osteoarthritis syndrome	MONDO:0013426	aneurysm-osteoarthritis syndrome
Angelman Syndrome	MONDO:0007113	Angelman syndrome
Angelman syndrome	MONDO:0007113	Angelman syndrome
Angle-closure glaucoma	MONDO:0001744	angle-closure glaucoma
Anhidrotic ectodermal dysplasia with immunodeficiency (EDA-ID)	MONDO:0010295	anhidrotic ectodermal dysplasia-immunodeficiency-osteopetrosis-lymphedema syndrome
Anhidrotic ectodermal dysplasia with immunodeficiency (HED-ID)	MONDO:0010295	anhidrotic ectodermal dysplasia-immunodeficiency-osteopetrosis-lymphedema syndrome
Aniridia	MONDO:0019172	aniridia
Anonychia Congenita	MONDO:0008798	nonsyndromic congenital nail disorder 4
Anophthalmia/microphthalmia	MONDO:0016764	isolated anophthalmia-microphthalmia syndrome
Anorexia nervosa	MONDO:0005351	anorexia nervosa
Antiphospholipid syndrome	MONDO:0017278; MONDO:8000010 (no common general term found)	antiphospholipid syndrome; autoimmune polyendocrinopathy
Antley-Bixler Syndrome	MONDO:0008803	Antley-Bixler syndrome
Antley-Bixler syndrome	MONDO:0008803	Antley-Bixler syndrome
Apert syndrome	MONDO:0007041	Apert syndrome
Aplastic anemia	MONDO:0012197; MONDO:0013879; MONDO:0015909 (no common general term found)	idiopathic aplastic anemia; aplastic anemia; pulmonary fibrosis and/or bone marrow failure, Telomere-related, 2
Aqueductal stenosis	MONDO:0009361	autosomal recessive hydrocephalus due to congenital stenosis of aqueduct of Sylvius
Arachnoid cyst	MONDO:0008813	arachnoid cyst
Arginase deficiency (Argininemia)	MONDO:0008814	hyperargininemia
Arginine:glycine amidinotransferase (AGAT) deficiency	MONDO:0012996	AGAT deficiency
Argininosuccinic Aciduria	MONDO:0008815	argininosuccinic aciduria
Argininosuccinic aciduria	MONDO:0008815	argininosuccinic aciduria
Argininosuccinic aciduria (ASL deficiency)	MONDO:0008815	argininosuccinic aciduria
Argininosuccinic aciduria (Argininosuccinate lyase deficiency)	MONDO:0008815	argininosuccinic aciduria
Arnold-Chiari malformation	MONDO:0000115	Chiari malformation
Aromatic L-amino acid decarboxylase (AADC) deficiency	MONDO:0012084	aromatic L-amino acid decarboxylase deficiency
Aromatic L-amino acid decarboxylase deficiency	MONDO:0012084	aromatic L-amino acid decarboxylase deficiency
Arrhythmogenic Right Ventricular Cardiomyopathy	MONDO:0016587	arrhythmogenic right ventricular cardiomyopathy
Arrhythmogenic cardiomyopathy	MONDO:0016587	arrhythmogenic right ventricular cardiomyopathy
Arrhythmogenic cardiomyopathy due to desmosomal mutations (e.g., DSG2 or JUP mutations)	MONDO:0012434	arrhythmogenic right ventricular dysplasia 10
Arrhythmogenic right ventricular cardiomyopathy	MONDO:0016587	arrhythmogenic right ventricular cardiomyopathy
Arrhythmogenic right ventricular cardiomyopathy (ARVC)	MONDO:0016587	arrhythmogenic right ventricular cardiomyopathy
Arterial Tortuosity Syndrome	MONDO:0008818	arterial tortuosity syndrome
Arterial Tortuosity syndrome	MONDO:0008818	arterial tortuosity syndrome
Arterial tortuosity syndrome	MONDO:0008818	arterial tortuosity syndrome
Arthrochalasia type Ehlers-Danlos syndrome	MONDO:0007525	Ehlers-Danlos syndrome, arthrochalasia type
Arthrogryposis Multiplex Congenita	MONDO:0007157; MONDO:0015168 (no common general term found)	arthrogryposis multiplex congenita; arthrogryposis, distal, type 1A
Arthrogryposis multiplex congenita	MONDO:0007157; MONDO:0015168 (no common general term found)	arthrogryposis multiplex congenita; arthrogryposis, distal, type 1A
Arthrogryposis multiplex congenita (amyoplasia type)	MONDO:0008823	arthrogryposis multiplex congenita 2, neurogenic type
Arthrogryposis-Renal dysfunction-Cholestasis (ARC) syndrome	MONDO:0017123	arthrogryposis-renal dysfunction-cholestasis syndrome
Asphyxiating thoracic dystrophy (Jeune syndrome)	MONDO:0018770	Jeune syndrome
Asplenia syndrome	MONDO:0008832	right atrial isomerism
Ataxia Pancytopenia Syndrome	MONDO:0008038	ataxia-pancytopenia syndrome
Ataxia Telangiectasia	MONDO:0008840	ataxia telangiectasia
Ataxia telangiectasia	MONDO:0008840	ataxia telangiectasia
Ataxia with Oculomotor Apraxia	HP:0000657	Oculomotor apraxia
Ataxia with Oculomotor Apraxia (AOA)	HP:0000657	Oculomotor apraxia
Ataxia with Oculomotor Apraxia Type 1	MONDO:0008842	ataxia, early-onset, with oculomotor apraxia and hypoalbuminemia
Ataxia with Oculomotor Apraxia Type 1 (AOA1)	MONDO:0014557	ataxia - oculomotor apraxia type 4
Ataxia with Oculomotor Apraxia Type 2	MONDO:0018996	spinocerebellar ataxia, autosomal recessive, with axonal neuropathy 2
Ataxia with Oculomotor Apraxia Type 2 (AOA2)	MONDO:0014557	ataxia - oculomotor apraxia type 4
Ataxia with Vitamin E deficiency	MONDO:0010188	familial isolated deficiency of vitamin E
Ataxia with oculomotor apraxia	HP:0000657	Oculomotor apraxia
Ataxia with oculomotor apraxia (AOA)	HP:0000657	Oculomotor apraxia
Ataxia with oculomotor apraxia type 1 (AOA1)	MONDO:0014557	ataxia - oculomotor apraxia type 4
Ataxia with oculomotor apraxia type 2	MONDO:0018996	spinocerebellar ataxia, autosomal recessive, with axonal neuropathy 2
Ataxia with oculomotor apraxia type 2 (AOA2)	MONDO:0014557	ataxia - oculomotor apraxia type 4
Ataxia with vitamin E deficiency	MONDO:0010188	familial isolated deficiency of vitamin E
Ataxia with vitamin E deficiency (AVED)	MONDO:0010188	familial isolated deficiency of vitamin E
Ataxia-Pancytopenia syndrome	MONDO:0008038	ataxia-pancytopenia syndrome
Ataxia-Telangiectasia	MONDO:0008840	ataxia telangiectasia
Ataxia-pancytopenia syndrome	MONDO:0008038	ataxia-pancytopenia syndrome
Ataxia-telangiectasia	MONDO:0008840	ataxia telangiectasia
Ataxia-telangiectasia variant	MONDO:0018266	ataxia - telangiectasia variant
Ataxic cerebral palsy	MONDO:0000397	ataxic cerebral palsy
Atopic Dermatitis	MONDO:0004980	atopic eczema
Atopic dermatitis	MONDO:0004980	atopic eczema
Atransferrinemia	MONDO:0008846	atransferrinemia
Atrichia with Papular Lesions	MONDO:0008847	atrichia with papular lesions
Atrichia with papular lesions	MONDO:0008847	atrichia with papular lesions
Attention Deficit Hyperactivity Disorder	MONDO:0007743	attention deficit-hyperactivity disorder
Atypical Progeroid Syndrome	MONDO:0019321	atypical Werner syndrome
Au-Kline syndrome	MONDO:0014700	Au-Kline syndrome
Auditory neuropathy due to OTOF mutations	MONDO:0010986	autosomal recessive nonsyndromic hearing loss 9
Auditory neuropathy spectrum disorder	MONDO:0021944	auditory neuropathy
Auriculo-Condylar Syndrome	MONDO:0000107	auriculocondylar syndrome
Auriculo-condylar syndrome	MONDO:0000107	auriculocondylar syndrome
Auriculocondylar syndrome	MONDO:0000107	auriculocondylar syndrome
Autism Spectrum Disorder	MONDO:0005258	autism spectrum disorder
Autism Spectrum Disorder (ASD)	MONDO:0005258	autism spectrum disorder
Autism Spectrum Disorder with Macrocephaly	MONDO:0011537	macrocephaly-autism syndrome
Autism spectrum disorder	MONDO:0005258	autism spectrum disorder
Autism spectrum disorder due to unknown genetic factors	MONDO:0014361	autism spectrum disorder due to AUTS2 deficiency
Autism spectrum disorder with intellectual disability	MONDO:0013352	intellectual disability-severe speech delay-mild dysmorphism syndrome
Autoimmune Lymphoproliferative Syndrome	MONDO:0017979	autoimmune lymphoproliferative syndrome
Autoimmune Lymphoproliferative Syndrome (ALPS)	MONDO:0017979	autoimmune lymphoproliferative syndrome
Autoimmune Polyendocrine Syndrome Type 1 (APS Type 1)	MONDO:0010012	autoimmune polyendocrinopathy type 2
Autoimmune Polyendocrine Syndrome Type 1 (APS-1)	MONDO:0010012	autoimmune polyendocrinopathy type 2
Autoimmune Polyendocrine Syndrome Type 1 (APS-1) / APECED	MONDO:0009411	autoimmune polyendocrine syndrome type 1
Autoimmune Polyendocrine Syndrome Type 1 (APS1)	MONDO:0010012	autoimmune polyendocrinopathy type 2
Autoimmune Polyendocrine Syndrome Type I (APS I)	MONDO:0010012	autoimmune polyendocrinopathy type 2
Autoimmune Polyendocrine Syndrome Type I (APS-1)	MONDO:0010012	autoimmune polyendocrinopathy type 2
Autoimmune Polyendocrine Syndrome Type II	MONDO:0010012	autoimmune polyendocrinopathy type 2
Autoimmune Polyendocrinopathy-Candidiasis-Ectodermal Dystrophy (APECED)	MONDO:0009411	autoimmune polyendocrine syndrome type 1
Autoimmune Polyglandular Syndrome Type 1 (APS-1 or APECED)	MONDO:0009411	autoimmune polyendocrine syndrome type 1
Autoimmune Polyglandular Syndrome Type 1 (APS-1)	MONDO:0010012	autoimmune polyendocrinopathy type 2
Autoimmune Polyglandular Syndrome Type 2	MONDO:0010012	autoimmune polyendocrinopathy type 2
Autoimmune Polyglandular Syndrome Type I (APS I)	MONDO:0010012	autoimmune polyendocrinopathy type 2
Autoimmune encephalitis	MONDO:0020640	autoimmune encephalitis
Autoimmune hemolytic anemia	MONDO:0020108	autoimmune hemolytic anemia
